	Config	Mean time	Mean mem	Mean SMAPE	Mean RMSE	Mean logcosh	Mean gradient calls	Mean iterations
0	('sgd', 1, Default(no) optimization, Squared error calculator)	0.009904699999999999	204.8B	0.18469673367078457	0.26049018515010225	0.03556566973495537	51.05	51.05
1	('sgd', 1, Momentum optimization (beta=0.95), Squared error calculator)	0.015723300000000003	0.0B	0.17536633680792293	0.25179309492328994	0.033054094026688116	72.85	72.85
2	('sgd', 1, Nesterov optimization (beta=0.95), Squared error calculator)	0.04947805	0.0B	0.16890997903869603	0.22222055075350816	0.025677482088876352	210.85	210.85
3	('sgd', 1, Ada gradient optimization (eps=1e-05), Squared error calculator)	0.009089900000000001	0.0B	0.3533094673044327	0.5440075678928551	0.14687180410622594	50.0	50.0
4	('sgd', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Squared error calculator)	0.01089635	0.0B	0.2163292787849096	0.333484549628027	0.05980338203714965	62.95	62.95
5	('sgd', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Squared error calculator)	0.021269299999999998	0.0B	0.17012196099748506	0.24174925513654516	0.031153057547675216	96.75	96.75
