	Config	Mean time	Mean mem	Mean SMAPE	Mean RMSE	Mean logcosh	Mean gradient calls	Mean iterations
0	('1', 1, Default(no) optimization, Squared error calculator)	0.086541	0.0B	0.1929415743501663	11.248847702500628	8.397998813733501	560.0	560.0
1	('10', 1, Default(no) optimization, Squared error calculator)	0.388356	0.0B	0.17020563440134454	10.52227409391362	7.815241400226772	6870.0	687.0
2	('25', 1, Default(no) optimization, Squared error calculator)	0.813253	0.0B	0.16881281336382817	10.47759399760983	7.790585786633144	17475.0	699.0
3	('100', 1, Default(no) optimization, Squared error calculator)	3.045257	0.0B	0.1686356236753545	10.436476328994166	7.747292839472399	71700.0	717.0
4	('250', 1, Default(no) optimization, Squared error calculator)	6.462644	0.0B	0.1684866235680517	10.42265354533606	7.734563635384598	180750.0	723.0
5	('500', 1, Default(no) optimization, Squared error calculator)	13.49543	0.0B	0.16828973027773805	10.408302604254411	7.722163486758959	365500.0	731.0
