	Config	Mean time	Mean mem	Mean SMAPE	Mean RMSE	Mean logcosh	Mean gradient calls	Mean iterations
49	('10', 1, Default(no) optimization, Boxed error calculator)	0.0110538	0.0B	0.6164481923608274	10.399122519571673	7.566190344108195	500.0	50.0
50	('40', 1, Default(no) optimization, Boxed error calculator)	0.02904295	0.0B	0.613984263746068	10.377942152602957	7.550973992927075	2000.0	50.0
51	('500', 1, Default(no) optimization, Boxed error calculator)	0.34304	0.0B	0.6137013922243004	10.3730355918202	7.547853488027844	25000.0	50.0
52	('1', 1, Momentum optimization (beta=0.95), Boxed error calculator)	0.0054053	0.0B	0.6125235491878251	10.53966853293867	7.663207036425099	59.6	59.6
53	('10', 1, Momentum optimization (beta=0.95), Boxed error calculator)	0.0106506	0.0B	0.5960630628519239	10.393041287336212	7.54980306921931	506.5	50.65
54	('40', 1, Momentum optimization (beta=0.95), Boxed error calculator)	0.030058599999999998	0.0B	0.6005508469913617	10.360530932808155	7.531267550129084	2000.0	50.0
55	('500', 1, Momentum optimization (beta=0.95), Boxed error calculator)	0.338025	0.0B	0.5970133982439587	10.359279325901177	7.527918574874385	25000.0	50.0
56	('1', 1, Nesterov optimization (beta=0.95), Boxed error calculator)	0.0051543000000000005	0.0B	0.6040023863624088	10.6166022747339	7.715708317226904	60.6	60.6
57	('10', 1, Nesterov optimization (beta=0.95), Boxed error calculator)	0.013249099999999996	0.0B	0.6054698589248788	10.374395910766426	7.543102918963247	508.0	50.8
58	('40', 1, Nesterov optimization (beta=0.95), Boxed error calculator)	0.05039405	0.0B	0.6006805651019523	10.362679754792975	7.532615041340115	2000.0	50.0
59	('500', 1, Nesterov optimization (beta=0.95), Boxed error calculator)	0.478039	0.0B	0.5966231614396807	10.36146783300341	7.528956212971357	25000.0	50.0
60	('1', 1, Ada gradient optimization (eps=1e-05), Boxed error calculator)	0.004392900000000002	0.0B	0.9603963570953926	11.741159943989988	8.661871283171598	50.0	50.0
61	('10', 1, Ada gradient optimization (eps=1e-05), Boxed error calculator)	0.01051555	0.0B	0.9569004842147326	11.735217084474538	8.657138509889172	500.0	50.0
62	('40', 1, Ada gradient optimization (eps=1e-05), Boxed error calculator)	0.031046850000000004	0.0B	0.956877227301759	11.73526248001899	8.657182526461787	2000.0	50.0
63	('500', 1, Ada gradient optimization (eps=1e-05), Boxed error calculator)	0.338958	0.0B	0.9571649284999135	11.73595988921018	8.657740740509169	25000.0	50.0
64	('1', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Boxed error calculator)	1.0770388999999998	-204.8B	0.6200617953479781	10.457864601638946	7.6206242029296	10000.0	10000.0
65	('10', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Boxed error calculator)	2.74553415	0.0B	0.6079827491292341	10.411094540450048	7.576339658406759	100000.0	10000.0
66	('40', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Boxed error calculator)	6.59299575	0.0B	0.5974148681382772	10.349857721263074	7.527845260786511	400000.0	10000.0
67	('500', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Boxed error calculator)	0.355961	0.0B	0.6000229791978152	10.338192809428204	7.51879779426455	26500.0	53.0
68	('1', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Boxed error calculator)	0.037501150000000004	0.0B	0.6168728855816712	10.636704411917096	7.743356570119461	356.45	356.45
69	('10', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Boxed error calculator)	0.0312947	0.0B	0.597537358299044	10.370989297573486	7.537858561412034	1336.0	133.6
70	('40', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Boxed error calculator)	0.0755412	0.0B	0.5973204424167937	10.351073182370405	7.5271190451540875	4968.0	124.2
71	('500', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Boxed error calculator)	0.490998	0.0B	0.5930144538789041	10.333052155137239	7.511585028420515	35500.0	71.0
