	Config	Mean time	Mean mem	Mean SMAPE	Mean RMSE	Mean logcosh	Mean gradient calls	Mean iterations
0	('1', 1, Default(no) optimization, Absolute error calculator)	0.2655766	0.0B	0.12831732629504006	10.051934807585333	7.2298380886525475	1854.4	1854.4
1	('10', 1, Default(no) optimization, Absolute error calculator)	0.4639314	0.0B	0.12972823312821097	9.985436053165262	7.192042784035637	10622.5	1062.25
2	('40', 1, Default(no) optimization, Absolute error calculator)	1.4441566499999998	0.0B	0.1298498460892637	9.981083049715695	7.188617492762805	42352.0	1058.8
3	('500', 1, Default(no) optimization, Absolute error calculator)	15.937956	0.0B	0.12999933563008498	9.988685879946853	7.196765928792278	525500.0	1051.0
4	('1', 1, Momentum optimization (beta=0.95), Absolute error calculator)	0.15725815	0.0B	0.1300494448859945	10.037790430607044	7.232884181761601	1070.0	1070.0
5	('10', 1, Momentum optimization (beta=0.95), Absolute error calculator)	0.46055275000000007	0.0B	0.12986402810612208	9.987767335292792	7.194078865524682	10532.5	1053.25
6	('40', 1, Momentum optimization (beta=0.95), Absolute error calculator)	1.4660856	0.0B	0.12975833126486416	9.972255938654499	7.179271031395134	42086.0	1052.15
7	('500', 1, Momentum optimization (beta=0.95), Absolute error calculator)	15.926255	0.0B	0.12961374002095394	9.964003808958834	7.171211373071305	528500.0	1057.0
8	('1', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	0.1792014	0.0B	0.13814350977019263	10.691778070073955	7.8496359181636395	1204.9	1204.9
9	('10', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	0.5765529500000001	0.0B	0.1292959223421744	9.974834525064763	7.177199131073836	12521.0	1252.1
10	('40', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	1.7999339499999998	0.0B	0.13005227041135042	9.990634492147626	7.196500899363952	49224.0	1230.6
11	('500', 1, Nesterov optimization (beta=0.95), Absolute error calculator)	20.428407	0.0B	0.1303393355270423	9.997890037221733	7.205112190633908	611000.0	1222.0
12	('1', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.0058151999999999995	0.0B	0.9830371763329779	80.07777747879611	66.93782242736395	52.25	52.25
13	('10', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.019694899999999994	0.0B	0.9922078636948871	80.3489087351733	67.17279334233619	500.0	50.0
14	('40', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.06538805	0.0B	0.9936664305283294	80.38406384502561	67.20335064197998	2000.0	50.0
15	('500', 1, Ada gradient optimization (eps=1e-05), Absolute error calculator)	0.772604	0.0B	0.99421241328995	80.39713427530687	67.21469905569587	25000.0	50.0
16	('1', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	1.4883362	0.0B	0.12586413672901098	9.956100687641733	7.128478946925497	9350.2	9350.2
17	('10', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	4.4081277	12.29kB	0.12580636881460758	9.910169648368443	7.0924395787074115	90113.5	9011.35
18	('40', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	6.99737365	0.0B	0.12525584554706137	9.901644254961097	7.083352718609831	179246.0	4481.15
19	('500', 1, RMS prop optimization (gamma=0.5, eps=1e-05), Absolute error calculator)	7.884629	0.0B	0.12529823970644294	9.89912055446904	7.0826188116171	234000.0	468.0
20	('1', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.1718161	0.0B	0.1274136131229891	9.980990220977136	7.163009160683563	936.65	936.65
21	('10', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.25414665000000003	0.0B	0.12584405167918322	9.918707181662949	7.102438358394314	5267.5	526.75
22	('40', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	0.7286670000000002	13.11kB	0.12541335630331665	9.90412868171082	7.087246061681235	19072.0	476.8
23	('500', 1, Adam optimization (beta_1=0.9, beta_2=0.999, eps=1e-05), Absolute error calculator)	8.153749	0.0B	0.1254200814570525	9.904003917178255	7.088297287106795	227500.0	455.0
24	('1', 1, Default(no) optimization, Squared error calculator)	0.39595529999999995	0.0B	0.12569841272837143	9.941746341650177	7.120257322338688	2430.8	2430.8
25	('10', 1, Default(no) optimization, Squared error calculator)	0.5099522999999999	0.0B	0.12932652256277788	9.963722502340286	7.169546581634061	10779.0	1077.9
26	('40', 1, Default(no) optimization, Squared error calculator)	1.6574575500000002	0.0B	0.12995455836477252	9.98790766525442	7.195703027060998	42080.0	1052.0
27	('500', 1, Default(no) optimization, Squared error calculator)	20.744154	0.0B	0.12999926425549096	9.988713381988134	7.1967956856019155	525500.0	1051.0
28	('1', 1, Momentum optimization (beta=0.95), Squared error calculator)	0.1719488	0.0B	0.13182822134587746	10.16406760030615	7.3546125122571535	1024.9	1024.9
29	('10', 1, Momentum optimization (beta=0.95), Squared error calculator)	0.52937795	0.0B	0.12976987699242304	9.976910572530898	7.182747612218466	10580.5	1058.05
30	('40', 1, Momentum optimization (beta=0.95), Squared error calculator)	1.6529960499999998	0.0B	0.12948397260453112	9.961213644260127	7.1681163492935465	42408.0	1060.2
31	('500', 1, Momentum optimization (beta=0.95), Squared error calculator)	18.472573	0.0B	0.1296128042435525	9.963940307380419	7.171144378159379	529000.0	1058.0
32	('1', 1, Nesterov optimization (beta=0.95), Squared error calculator)	0.20600155	0.0B	0.1366653187560571	10.534604731209821	7.701893663049773	1246.0	1246.0
33	('10', 1, Nesterov optimization (beta=0.95), Squared error calculator)	0.64687915	0.0B	0.13029339974002827	10.017018555307178	7.219624914130563	12492.0	1249.2
